sample_id	raw_file_name	quant_type	source_column	plate	well	replicate_letter	ip_name	bait_name	condition	is_control	replicate_group	keep	notes
b3656	b3656.raw	Intensity	Intensity b3656	81059PEI	C09	B	b3656	HSD17B11	81059PEI	N	HSD17B11__81059PEI	Y	auto_filled_from_archiveSummary
b3657	b3657.raw	Intensity	Intensity b3657	81059PEI	C07	B	b3657	MRPL46	81059PEI	N	MRPL46__81059PEI	Y	auto_filled_from_archiveSummary
b3658	b3658.raw	Intensity	Intensity b3658	81059PEI	C01	B	b3658	ZC3H8	81059PEI	N	ZC3H8__81059PEI	Y	auto_filled_from_archiveSummary
b3669	b3669.raw	Intensity	Intensity b3669	81059PEI	C11	B	b3669	DHRS2	81059PEI	N	DHRS2__81059PEI	Y	auto_filled_from_archiveSummary
b3670	b3670.raw	Intensity	Intensity b3670	81059PEI	C10	B	b3670	C19orf46	81059PEI	N	C19orf46__81059PEI	Y	auto_filled_from_archiveSummary
b3671	b3671.raw	Intensity	Intensity b3671	81059PEI	C08	B	b3671	HNMT	81059PEI	N	HNMT__81059PEI	Y	auto_filled_from_archiveSummary
b3673	b3673.raw	Intensity	Intensity b3673	81059PEI	C05	B	b3673	GGPS1	81059PEI	N	GGPS1__81059PEI	Y	auto_filled_from_archiveSummary
b3674	b3674.raw	Intensity	Intensity b3674	81059PEI	C04	B	b3674	LDB3	81059PEI	N	LDB3__81059PEI	Y	auto_filled_from_archiveSummary
b3676	b3676.raw	Intensity	Intensity b3676	81059PEI	C02	B	b3676	GK5	81059PEI	N	GK5__81059PEI	Y	auto_filled_from_archiveSummary
b3799	b3799.raw	Intensity	Intensity b3799	81059PEI	D04	B	b3799	CLN8	81059PEI	N	CLN8__81059PEI	Y	auto_filled_from_archiveSummary
b3800	b3800.raw	Intensity	Intensity b3800	81059PEI	D03	B	b3800	ELOVL2	81059PEI	N	ELOVL2__81059PEI	Y	auto_filled_from_archiveSummary
b3801	b3801.raw	Intensity	Intensity b3801	81059PEI	D11	A	b3801	C3orf32	81059PEI	N	C3orf32__81059PEI	Y	auto_filled_from_archiveSummary
b5698	b5698.raw	Intensity	Intensity b5698	81067	B12	B	b5698	FBXL3	81067	N	FBXL3__81067	Y	auto_filled_from_archiveSummary
b5701	b5701.raw	Intensity	Intensity b5701	81067	B09	B	b5701	KIAA1949	81067	N	KIAA1949__81067	Y	auto_filled_from_archiveSummary
b5702	b5702.raw	Intensity	Intensity b5702	81067	B08	B	b5702	SLC39A4	81067	N	SLC39A4__81067	Y	auto_filled_from_archiveSummary
b5703	b5703.raw	Intensity	Intensity b5703	81067	B07	B	b5703	RBPJ	81067	N	RBPJ__81067	Y	auto_filled_from_archiveSummary
b5707	b5707.raw	Intensity	Intensity b5707	81067	B03	B	b5707	CXADR	81067	N	CXADR__81067	Y	auto_filled_from_archiveSummary
b5708	b5708.raw	Intensity	Intensity b5708	81067	B02	B	b5708	SDF4	81067	N	SDF4__81067	Y	auto_filled_from_archiveSummary
b5709	b5709.raw	Intensity	Intensity b5709	81067	B01	B	b5709	OBFC1	81067	N	OBFC1__81067	Y	auto_filled_from_archiveSummary
b5714	b5714.raw	Intensity	Intensity b5714	81067	H10	B	b5714	PVRL3	81067	N	PVRL3__81067	Y	auto_filled_from_archiveSummary
b5716	b5716.raw	Intensity	Intensity b5716	81067	H08	B	b5716	SERPINA6	81067	N	SERPINA6__81067	Y	auto_filled_from_archiveSummary
b5717	b5717.raw	Intensity	Intensity b5717	81067	H07	B	b5717	DNM3	81067	N	DNM3__81067	Y	auto_filled_from_archiveSummary
b5718	b5718.raw	Intensity	Intensity b5718	81067	H06	B	b5718	NUP50	81067	N	NUP50__81067	Y	auto_filled_from_archiveSummary
b5719	b5719.raw	Intensity	Intensity b5719	81067	H05	B	b5719	CD244	81067	N	CD244__81067	Y	auto_filled_from_archiveSummary
b5720	b5720.raw	Intensity	Intensity b5720	81067	H04	B	b5720	C9orf156	81067	N	C9orf156__81067	Y	auto_filled_from_archiveSummary
b5721	b5721.raw	Intensity	Intensity b5721	81067	H03	B	b5721	SMPD1	81067	N	SMPD1__81067	Y	auto_filled_from_archiveSummary
b5722	b5722.raw	Intensity	Intensity b5722	81067	H02	B	b5722	KIAA1456	81067	N	KIAA1456__81067	Y	auto_filled_from_archiveSummary
b5723	b5723.raw	Intensity	Intensity b5723	81067	H01	B	b5723	ZNF707	81067	N	ZNF707__81067	Y	auto_filled_from_archiveSummary
b5728	b5728.raw	Intensity	Intensity b5728	81067	A10	B	b5728	USP38	81067	N	USP38__81067	Y	auto_filled_from_archiveSummary
b5729	b5729.raw	Intensity	Intensity b5729	81067	A09	B	b5729	TRIM16	81067	N	TRIM16__81067	Y	auto_filled_from_archiveSummary
b5730	b5730.raw	Intensity	Intensity b5730	81067	A08	B	b5730	MCAM	81067	N	MCAM__81067	Y	auto_filled_from_archiveSummary
b5731	b5731.raw	Intensity	Intensity b5731	81067	A07	B	b5731	CDCA7L	81067	N	CDCA7L__81067	Y	auto_filled_from_archiveSummary
b5732	b5732.raw	Intensity	Intensity b5732	81067	A06	B	b5732	AHSG	81067	N	AHSG__81067	Y	auto_filled_from_archiveSummary
b5734	b5734.raw	Intensity	Intensity b5734	81067	A04	B	b5734	GABRE	81067	N	GABRE__81067	Y	auto_filled_from_archiveSummary
b5735	b5735.raw	Intensity	Intensity b5735	81067	A03	B	b5735	PSAT1	81067	N	PSAT1__81067	Y	auto_filled_from_archiveSummary
b5736	b5736.raw	Intensity	Intensity b5736	81067	A02	B	b5736	PARVA	81067	N	PARVA__81067	Y	auto_filled_from_archiveSummary
b5737	b5737.raw	Intensity	Intensity b5737	81067	A01	B	b5737	HMBS	81067	N	HMBS__81067	Y	auto_filled_from_archiveSummary
b5746	b5746.raw	Intensity	Intensity b5746	81067	C12	B	b5746	FAM188A	81067	N	FAM188A__81067	Y	auto_filled_from_archiveSummary
b5747	b5747.raw	Intensity	Intensity b5747	81067	C11	B	b5747	B3GNT3	81067	N	B3GNT3__81067	Y	auto_filled_from_archiveSummary
b5748	b5748.raw	Intensity	Intensity b5748	81067	C10	B	b5748	DCTN1	81067	N	DCTN1__81067	Y	auto_filled_from_archiveSummary
b5749	b5749.raw	Intensity	Intensity b5749	81067	C09	B	b5749	IGSF8	81067	N	IGSF8__81067	Y	auto_filled_from_archiveSummary
b5751	b5751.raw	Intensity	Intensity b5751	81067	C07	B	b5751	DLD	81067	N	DLD__81067	Y	auto_filled_from_archiveSummary
b5752	b5752.raw	Intensity	Intensity b5752	81067	C06	B	b5752	AUP1	81067	N	AUP1__81067	Y	auto_filled_from_archiveSummary
b5753	b5753.raw	Intensity	Intensity b5753	81067	C05	B	b5753	IDH3A	81067	N	IDH3A__81067	Y	auto_filled_from_archiveSummary
b5754	b5754.raw	Intensity	Intensity b5754	81067	C04	B	b5754	ARPC1A	81067	N	ARPC1A__81067	Y	auto_filled_from_archiveSummary
b5756	b5756.raw	Intensity	Intensity b5756	81067	C02	B	b5756	USP18	81067	N	USP18__81067	Y	auto_filled_from_archiveSummary
b5763	b5763.raw	Intensity	Intensity b5763	81067	F10	B	b5763	MMRN1	81067	N	MMRN1__81067	Y	auto_filled_from_archiveSummary
b5764	b5764.raw	Intensity	Intensity b5764	81067	F09	B	b5764	PPARD	81067	N	PPARD__81067	Y	auto_filled_from_archiveSummary
b5765	b5765.raw	Intensity	Intensity b5765	81067	F07	B	b5765	MYT1	81067	N	MYT1__81067	Y	auto_filled_from_archiveSummary
b5766	b5766.raw	Intensity	Intensity b5766	81067	F06	B	b5766	PABPC5	81067	N	PABPC5__81067	Y	auto_filled_from_archiveSummary
b5767	b5767.raw	Intensity	Intensity b5767	81067	F05	B	b5767	ANKRD16	81067	N	ANKRD16__81067	Y	auto_filled_from_archiveSummary
b5769	b5769.raw	Intensity	Intensity b5769	81067	F03	B	b5769	TTC23L	81067	N	TTC23L__81067	Y	auto_filled_from_archiveSummary
b5770	b5770.raw	Intensity	Intensity b5770	81067	F02	B	b5770	SDC3	81067	N	SDC3__81067	Y	auto_filled_from_archiveSummary
b5771	b5771.raw	Intensity	Intensity b5771	81067	F01	B	b5771	GRINL1A	81067	N	GRINL1A__81067	Y	auto_filled_from_archiveSummary
b5776	b5776.raw	Intensity	Intensity b5776	81067	G11	B	b5776	PRKAR2B	81067	N	PRKAR2B__81067	Y	auto_filled_from_archiveSummary
b5777	b5777.raw	Intensity	Intensity b5777	81067	G10	B	b5777	GPR52	81067	N	GPR52__81067	Y	auto_filled_from_archiveSummary
b5778	b5778.raw	Intensity	Intensity b5778	81067	G09	B	b5778	HLA-B	81067	N	HLA-B__81067	Y	auto_filled_from_archiveSummary
b5779	b5779.raw	Intensity	Intensity b5779	81067	G07	B	b5779	LMNA	81067	N	LMNA__81067	Y	auto_filled_from_archiveSummary
b5780	b5780.raw	Intensity	Intensity b5780	81067	G06	B	b5780	GMPR2	81067	N	GMPR2__81067	Y	auto_filled_from_archiveSummary
b5781	b5781.raw	Intensity	Intensity b5781	81067	G05	B	b5781	PNMA2	81067	N	PNMA2__81067	Y	auto_filled_from_archiveSummary
b5783	b5783.raw	Intensity	Intensity b5783	81067	G03	B	b5783	POGZ	81067	N	POGZ__81067	Y	auto_filled_from_archiveSummary
b5784	b5784.raw	Intensity	Intensity b5784	81067	G02	B	b5784	GLUL	81067	N	GLUL__81067	Y	auto_filled_from_archiveSummary
b5785	b5785.raw	Intensity	Intensity b5785	81067	G01	B	b5785	H2AFY2	81067	N	H2AFY2__81067	Y	auto_filled_from_archiveSummary
b5789	b5789.raw	Intensity	Intensity b5789	81067	D12	B	b5789	CLEC18A	81067	N	CLEC18A__81067	Y	auto_filled_from_archiveSummary
b5791	b5791.raw	Intensity	Intensity b5791	81067	D08	B	b5791	PHF15	81067	N	PHF15__81067	Y	auto_filled_from_archiveSummary
b5792	b5792.raw	Intensity	Intensity b5792	81067	D07	B	b5792	DNAJC11	81067	N	DNAJC11__81067	Y	auto_filled_from_archiveSummary
b5793	b5793.raw	Intensity	Intensity b5793	81067	D06	B	b5793	ARHGEF10	81067	N	ARHGEF10__81067	Y	auto_filled_from_archiveSummary
b5794	b5794.raw	Intensity	Intensity b5794	81067	D05	B	b5794	RSAD2	81067	N	RSAD2__81067	Y	auto_filled_from_archiveSummary
b5795	b5795.raw	Intensity	Intensity b5795	81067	D04	B	b5795	PARD6B	81067	N	PARD6B__81067	Y	auto_filled_from_archiveSummary
b5796	b5796.raw	Intensity	Intensity b5796	81067	D03	B	b5796	CREB3	81067	N	CREB3__81067	Y	auto_filled_from_archiveSummary
b5797	b5797.raw	Intensity	Intensity b5797	81067	D02	B	b5797	LIPT1	81067	N	LIPT1__81067	Y	auto_filled_from_archiveSummary
b5798	b5798.raw	Intensity	Intensity b5798	81067	D01	B	b5798	HLA-C	81067	N	HLA-C__81067	Y	auto_filled_from_archiveSummary
b5803	b5803.raw	Intensity	Intensity b5803	81067	E11	B	b5803	ADH1C	81067	N	ADH1C__81067	Y	auto_filled_from_archiveSummary
b5804	b5804.raw	Intensity	Intensity b5804	81067	E10	B	b5804	DZIP3	81067	N	DZIP3__81067	Y	auto_filled_from_archiveSummary
b5805	b5805.raw	Intensity	Intensity b5805	81067	E09	B	b5805	TEAD4	81067	N	TEAD4__81067	Y	auto_filled_from_archiveSummary
b5806	b5806.raw	Intensity	Intensity b5806	81067	E08	B	b5806	NT5E	81067	N	NT5E__81067	Y	auto_filled_from_archiveSummary
b5807	b5807.raw	Intensity	Intensity b5807	81067	E07	B	b5807	C8orf45	81067	N	C8orf45__81067	Y	auto_filled_from_archiveSummary
b5808	b5808.raw	Intensity	Intensity b5808	81067	E06	B	b5808	VASP	81067	N	VASP__81067	Y	auto_filled_from_archiveSummary
b5809	b5809.raw	Intensity	Intensity b5809	81067	E05	B	b5809	GPR183	81067	N	GPR183__81067	Y	auto_filled_from_archiveSummary
b5810	b5810.raw	Intensity	Intensity b5810	81067	E03	B	b5810	PEX3	81067	N	PEX3__81067	Y	auto_filled_from_archiveSummary
b5811	b5811.raw	Intensity	Intensity b5811	81067	E02	B	b5811	SLC35C1	81067	N	SLC35C1__81067	Y	auto_filled_from_archiveSummary
b5812	b5812.raw	Intensity	Intensity b5812	81067	E01	B	b5812	SSBP2	81067	N	SSBP2__81067	Y	auto_filled_from_archiveSummary
b8578	b8578.raw	Intensity	Intensity b8578	81096	A12	B	b8578	TBL1Y	81096	N	TBL1Y__81096	Y	auto_filled_from_archiveSummary
b8579	b8579.raw	Intensity	Intensity b8579	81096	A11	B	b8579	ZMYND11	81096	N	ZMYND11__81096	Y	auto_filled_from_archiveSummary
b8580	b8580.raw	Intensity	Intensity b8580	81096	A10	B	b8580	ZNF238	81096	N	ZNF238__81096	Y	auto_filled_from_archiveSummary
b8581	b8581.raw	Intensity	Intensity b8581	81096	A09	B	b8581	SNX1	81096	N	SNX1__81096	Y	auto_filled_from_archiveSummary
b8582	b8582.raw	Intensity	Intensity b8582	81096	A08	B	b8582	POLE2	81096	N	POLE2__81096	Y	auto_filled_from_archiveSummary
b8583	b8583.raw	Intensity	Intensity b8583	81096	A07	B	b8583	ZNF449	81096	N	ZNF449__81096	Y	auto_filled_from_archiveSummary
b8584	b8584.raw	Intensity	Intensity b8584	81096	A06	B	b8584	DYNC1LI1	81096	N	DYNC1LI1__81096	Y	auto_filled_from_archiveSummary
b8585	b8585.raw	Intensity	Intensity b8585	81096	A05	B	b8585	VANGL1	81096	N	VANGL1__81096	Y	auto_filled_from_archiveSummary
b8586	b8586.raw	Intensity	Intensity b8586	81096	A04	B	b8586	CYP4F12	81096	N	CYP4F12__81096	Y	auto_filled_from_archiveSummary
b8587	b8587.raw	Intensity	Intensity b8587	81096	A03	B	b8587	TNK2	81096	N	TNK2__81096	Y	auto_filled_from_archiveSummary
b8588	b8588.raw	Intensity	Intensity b8588	81096	A02	B	b8588	DYRK4	81096	N	DYRK4__81096	Y	auto_filled_from_archiveSummary
b8589	b8589.raw	Intensity	Intensity b8589	81096	A01	B	b8589	DPYS	81096	N	DPYS__81096	Y	auto_filled_from_archiveSummary
b8593	b8593.raw	Intensity	Intensity b8593	81096	B12	B	b8593	TIGD6	81096	N	TIGD6__81096	Y	auto_filled_from_archiveSummary
b8594	b8594.raw	Intensity	Intensity b8594	81096	B11	B	b8594	FBXW11	81096	N	FBXW11__81096	Y	auto_filled_from_archiveSummary
b8595	b8595.raw	Intensity	Intensity b8595	81096	B10	B	b8595	PLXNA4	81096	N	PLXNA4__81096	Y	auto_filled_from_archiveSummary
b8597	b8597.raw	Intensity	Intensity b8597	81096	B08	B	b8597	CAT	81096	N	CAT__81096	Y	auto_filled_from_archiveSummary
b8598	b8598.raw	Intensity	Intensity b8598	81096	B07	B	b8598	TMEM209	81096	N	TMEM209__81096	Y	auto_filled_from_archiveSummary
b8599	b8599.raw	Intensity	Intensity b8599	81096	B06	B	b8599	FAM98A	81096	N	FAM98A__81096	Y	auto_filled_from_archiveSummary
b8600	b8600.raw	Intensity	Intensity b8600	81096	B05	B	b8600	NAB2	81096	N	NAB2__81096	Y	auto_filled_from_archiveSummary
b8601	b8601.raw	Intensity	Intensity b8601	81096	B04	B	b8601	ATP5B	81096	N	ATP5B__81096	Y	auto_filled_from_archiveSummary
b8603	b8603.raw	Intensity	Intensity b8603	81096	B02	B	b8603	MARCO	81096	N	MARCO__81096	Y	auto_filled_from_archiveSummary
b8604	b8604.raw	Intensity	Intensity b8604	81096	B01	B	b8604	TCP11L2	81096	N	TCP11L2__81096	Y	auto_filled_from_archiveSummary
b8608	b8608.raw	Intensity	Intensity b8608	81096	E01	A	b8608	PDE4D	81096	N	PDE4D__81096	Y	auto_filled_from_archiveSummary
b8609	b8609.raw	Intensity	Intensity b8609	81096	E02	A	b8609	FLVCR2	81096	N	FLVCR2__81096	Y	auto_filled_from_archiveSummary
b8610	b8610.raw	Intensity	Intensity b8610	81096	E03	A	b8610	WHSC2	81096	N	WHSC2__81096	Y	auto_filled_from_archiveSummary
b8611	b8611.raw	Intensity	Intensity b8611	81096	E05	A	b8611	LAP3	81096	N	LAP3__81096	Y	auto_filled_from_archiveSummary
b8612	b8612.raw	Intensity	Intensity b8612	81096	E07	A	b8612	CDC16	81096	N	CDC16__81096	Y	auto_filled_from_archiveSummary
b8613	b8613.raw	Intensity	Intensity b8613	81096	E08	A	b8613	C17orf53	81096	N	C17orf53__81096	Y	auto_filled_from_archiveSummary
b8614	b8614.raw	Intensity	Intensity b8614	81096	E09	A	b8614	ASB3	81096	N	ASB3__81096	Y	auto_filled_from_archiveSummary
b8615	b8615.raw	Intensity	Intensity b8615	81096	E10	A	b8615	OMA1	81096	N	OMA1__81096	Y	auto_filled_from_archiveSummary
b8616	b8616.raw	Intensity	Intensity b8616	81096	E11	A	b8616	ALPI	81096	N	ALPI__81096	Y	auto_filled_from_archiveSummary
b8617	b8617.raw	Intensity	Intensity b8617	81096	E12	A	b8617	VNN2	81096	N	VNN2__81096	Y	auto_filled_from_archiveSummary
b8621	b8621.raw	Intensity	Intensity b8621	81096	F02	A	b8621	SYNCRIP	81096	N	SYNCRIP__81096	Y	auto_filled_from_archiveSummary
b8623	b8623.raw	Intensity	Intensity b8623	81096	F05	A	b8623	ACCN2	81096	N	ACCN2__81096	Y	auto_filled_from_archiveSummary
b8624	b8624.raw	Intensity	Intensity b8624	81096	F06	A	b8624	OCLN	81096	N	OCLN__81096	Y	auto_filled_from_archiveSummary
b8625	b8625.raw	Intensity	Intensity b8625	81096	F08	A	b8625	ATG9A	81096	N	ATG9A__81096	Y	auto_filled_from_archiveSummary
b8626	b8626.raw	Intensity	Intensity b8626	81096	F09	A	b8626	PDZK1	81096	N	PDZK1__81096	Y	auto_filled_from_archiveSummary
b8627	b8627.raw	Intensity	Intensity b8627	81096	F10	A	b8627	SLC1A1	81096	N	SLC1A1__81096	Y	auto_filled_from_archiveSummary
b8628	b8628.raw	Intensity	Intensity b8628	81096	F11	A	b8628	UGT2A3	81096	N	UGT2A3__81096	Y	auto_filled_from_archiveSummary
b8629	b8629.raw	Intensity	Intensity b8629	81096	F12	A	b8629	USP3	81096	N	USP3__81096	Y	auto_filled_from_archiveSummary
b8633	b8633.raw	Intensity	Intensity b8633	81096	C12	B	b8633	VANGL2	81096	N	VANGL2__81096	Y	auto_filled_from_archiveSummary
b8634	b8634.raw	Intensity	Intensity b8634	81096	C11	B	b8634	SIAE	81096	N	SIAE__81096	Y	auto_filled_from_archiveSummary
b8635	b8635.raw	Intensity	Intensity b8635	81096	C10	B	b8635	CDK17	81096	N	CDK17__81096	Y	auto_filled_from_archiveSummary
b8636	b8636.raw	Intensity	Intensity b8636	81096	C09	B	b8636	CORO2A	81096	N	CORO2A__81096	Y	auto_filled_from_archiveSummary
b8637	b8637.raw	Intensity	Intensity b8637	81096	C08	B	b8637	ZNF572	81096	N	ZNF572__81096	Y	auto_filled_from_archiveSummary
b8647	b8647.raw	Intensity	Intensity b8647	81096	D12	B	b8647	PNLDC1	81096	N	PNLDC1__81096	Y	auto_filled_from_archiveSummary
b8649	b8649.raw	Intensity	Intensity b8649	81096	D08	B	b8649	APEX2	81096	N	APEX2__81096	Y	auto_filled_from_archiveSummary
b8650	b8650.raw	Intensity	Intensity b8650	81096	D09	B	b8650	MFSD8	81096	N	MFSD8__81096	Y	auto_filled_from_archiveSummary
b8651	b8651.raw	Intensity	Intensity b8651	81096	D07	B	b8651	LRRTM1	81096	N	LRRTM1__81096	Y	auto_filled_from_archiveSummary
b8652	b8652.raw	Intensity	Intensity b8652	81096	D06	B	b8652	ZNF768	81096	N	ZNF768__81096	Y	auto_filled_from_archiveSummary
b8653	b8653.raw	Intensity	Intensity b8653	81096	D05	B	b8653	PFKFB3	81096	N	PFKFB3__81096	Y	auto_filled_from_archiveSummary
b8654	b8654.raw	Intensity	Intensity b8654	81096	D04	B	b8654	NHEDC2	81096	N	NHEDC2__81096	Y	auto_filled_from_archiveSummary
b8655	b8655.raw	Intensity	Intensity b8655	81096	D03	B	b8655	GPR114	81096	N	GPR114__81096	Y	auto_filled_from_archiveSummary
b8656	b8656.raw	Intensity	Intensity b8656	81096	D02	B	b8656	TBX22	81096	N	TBX22__81096	Y	auto_filled_from_archiveSummary
b8657	b8657.raw	Intensity	Intensity b8657	81096	D01	B	b8657	CAMKK1	81096	N	CAMKK1__81096	Y	auto_filled_from_archiveSummary
b8659	b8659.raw	Intensity	Intensity b8659	81096	G11	B	b8659	ALPL	81096	N	ALPL__81096	Y	auto_filled_from_archiveSummary
b8661	b8661.raw	Intensity	Intensity b8661	81096	G09	B	b8661	OXCT1	81096	N	OXCT1__81096	Y	auto_filled_from_archiveSummary
b8662	b8662.raw	Intensity	Intensity b8662	81096	G08	B	b8662	FBXO7	81096	N	FBXO7__81096	Y	auto_filled_from_archiveSummary
b8663	b8663.raw	Intensity	Intensity b8663	81096	G07	B	b8663	ZNF454	81096	N	ZNF454__81096	Y	auto_filled_from_archiveSummary
b8667	b8667.raw	Intensity	Intensity b8667	81096	G03	B	b8667	QRSL1	81096	N	QRSL1__81096	Y	auto_filled_from_archiveSummary
b8669	b8669.raw	Intensity	Intensity b8669	81096	G01	B	b8669	KBTBD4	81096	N	KBTBD4__81096	Y	auto_filled_from_archiveSummary
b8672	b8672.raw	Intensity	Intensity b8672	81096	H11	B	b8672	UGT3A2	81096	N	UGT3A2__81096	Y	auto_filled_from_archiveSummary
b8673	b8673.raw	Intensity	Intensity b8673	81096	H10	B	b8673	MAOA	81096	N	MAOA__81096	Y	auto_filled_from_archiveSummary
b8675	b8675.raw	Intensity	Intensity b8675	81096	H08	B	b8675	PRPF4	81096	N	PRPF4__81096	Y	auto_filled_from_archiveSummary
b8679	b8679.raw	Intensity	Intensity b8679	81096	H03	B	b8679	GPR161	81096	N	GPR161__81096	Y	auto_filled_from_archiveSummary
b8680	b8680.raw	Intensity	Intensity b8680	81096	H02	B	b8680	HEXA	81096	N	HEXA__81096	Y	auto_filled_from_archiveSummary
b8681	b8681.raw	Intensity	Intensity b8681	81096	H01	B	b8681	C16orf71	81096	N	C16orf71__81096	Y	auto_filled_from_archiveSummary
b8687	b8687.raw	Intensity	Intensity b8687	81096	C06	B	b8687	TULP2	81096	N	TULP2__81096	Y	auto_filled_from_archiveSummary
b8688	b8688.raw	Intensity	Intensity b8688	81096	C05	B	b8688	DEPDC1	81096	N	DEPDC1__81096	Y	auto_filled_from_archiveSummary
b8690	b8690.raw	Intensity	Intensity b8690	81096	C03	B	b8690	BAIAP2	81096	N	BAIAP2__81096	Y	auto_filled_from_archiveSummary
b8691	b8691.raw	Intensity	Intensity b8691	81096	C02	B	b8691	DCT	81096	N	DCT__81096	Y	auto_filled_from_archiveSummary
b8692	b8692.raw	Intensity	Intensity b8692	81096	C01	B	b8692	CREB3L1	81096	N	CREB3L1__81096	Y	auto_filled_from_archiveSummary
b9103	b9103.raw	Intensity	Intensity b9103	81045PEI	B01	A	b9103	YAF2	81045PEI	N	YAF2__81045PEI	Y	auto_filled_from_archiveSummary
b9104	b9104.raw	Intensity	Intensity b9104	81045PEI	B02	A	b9104	GJB7	81045PEI	N	GJB7__81045PEI	Y	auto_filled_from_archiveSummary
b9105	b9105.raw	Intensity	Intensity b9105	81045PEI	B03	A	b9105	RIT1	81045PEI	N	RIT1__81045PEI	Y	auto_filled_from_archiveSummary
b9106	b9106.raw	Intensity	Intensity b9106	81045PEI	B04	A	b9106	TMEM182	81045PEI	N	TMEM182__81045PEI	Y	auto_filled_from_archiveSummary
b9107	b9107.raw	Intensity	Intensity b9107	81045PEI	B06	A	b9107	IFNW1	81045PEI	N	IFNW1__81045PEI	Y	auto_filled_from_archiveSummary
b9108	b9108.raw	Intensity	Intensity b9108	81045PEI	B07	A	b9108	RAB41	81045PEI	N	RAB41__81045PEI	Y	auto_filled_from_archiveSummary
b9109	b9109.raw	Intensity	Intensity b9109	81045PEI	B08	A	b9109	DTD1	81045PEI	N	DTD1__81045PEI	Y	auto_filled_from_archiveSummary
b9110	b9110.raw	Intensity	Intensity b9110	81045PEI	B09	A	b9110	RAB5C	81045PEI	N	RAB5C__81045PEI	Y	auto_filled_from_archiveSummary
b9112	b9112.raw	Intensity	Intensity b9112	81045PEI	B11	A	b9112	IL22RA2	81045PEI	N	IL22RA2__81045PEI	Y	auto_filled_from_archiveSummary
b9113	b9113.raw	Intensity	Intensity b9113	81045PEI	B12	A	b9113	NEK2	81045PEI	N	NEK2__81045PEI	Y	auto_filled_from_archiveSummary
b9117	b9117.raw	Intensity	Intensity b9117	81045PEI	F02	A	b9117	SCN3B	81045PEI	N	SCN3B__81045PEI	Y	auto_filled_from_archiveSummary
b9118	b9118.raw	Intensity	Intensity b9118	81045PEI	F04	A	b9118	HTR3D	81045PEI	N	HTR3D__81045PEI	Y	auto_filled_from_archiveSummary
b9119	b9119.raw	Intensity	Intensity b9119	81045PEI	F05	A	b9119	C9orf139	81045PEI	N	C9orf139__81045PEI	Y	auto_filled_from_archiveSummary
b9120	b9120.raw	Intensity	Intensity b9120	81045PEI	F06	A	b9120	IL29	81045PEI	N	IL29__81045PEI	Y	auto_filled_from_archiveSummary
b9121	b9121.raw	Intensity	Intensity b9121	81045PEI	F07	A	b9121	BCL7A	81045PEI	N	BCL7A__81045PEI	Y	auto_filled_from_archiveSummary
b9122	b9122.raw	Intensity	Intensity b9122	81045PEI	F08	A	b9122	BAG2	81045PEI	N	BAG2__81045PEI	Y	auto_filled_from_archiveSummary
b9123	b9123.raw	Intensity	Intensity b9123	81045PEI	F09	A	b9123	ARHGEF38	81045PEI	N	ARHGEF38__81045PEI	Y	auto_filled_from_archiveSummary
b9124	b9124.raw	Intensity	Intensity b9124	81045PEI	F10	A	b9124	SULT1C4	81045PEI	N	SULT1C4__81045PEI	Y	auto_filled_from_archiveSummary
b9125	b9125.raw	Intensity	Intensity b9125	81045PEI	F11	A	b9125	CNTF	81045PEI	N	CNTF__81045PEI	Y	auto_filled_from_archiveSummary
b9129	b9129.raw	Intensity	Intensity b9129	81045PEI	D07	B	b9129	RABL2A	81045PEI	N	RABL2A__81045PEI	Y	auto_filled_from_archiveSummary
b9130	b9130.raw	Intensity	Intensity b9130	81045PEI	D05	B	b9130	IFNA1	81045PEI	N	IFNA1__81045PEI	Y	auto_filled_from_archiveSummary
b9131	b9131.raw	Intensity	Intensity b9131	81045PEI	D04	B	b9131	LHFPL4	81045PEI	N	LHFPL4__81045PEI	Y	auto_filled_from_archiveSummary
b9132	b9132.raw	Intensity	Intensity b9132	81045PEI	D03	B	b9132	C16orf54	81045PEI	N	C16orf54__81045PEI	Y	auto_filled_from_archiveSummary
b9133	b9133.raw	Intensity	Intensity b9133	81045PEI	D02	B	b9133	RECK	81045PEI	N	RECK__81045PEI	Y	auto_filled_from_archiveSummary
b9134	b9134.raw	Intensity	Intensity b9134	81045PEI	D01	B	b9134	C10orf107	81045PEI	N	C10orf107__81045PEI	Y	auto_filled_from_archiveSummary
b9136	b9136.raw	Intensity	Intensity b9136	81045PEI	A11	B	b9136	UBAC2	81045PEI	N	UBAC2__81045PEI	Y	auto_filled_from_archiveSummary
b9137	b9137.raw	Intensity	Intensity b9137	81045PEI	A10	B	b9137	PRR20A	81045PEI	N	PRR20A__81045PEI	Y	auto_filled_from_archiveSummary
b9138	b9138.raw	Intensity	Intensity b9138	81045PEI	A09	B	b9138	TM2D2	81045PEI	N	TM2D2__81045PEI	Y	auto_filled_from_archiveSummary
b9139	b9139.raw	Intensity	Intensity b9139	81045PEI	A07	B	b9139	LIM2	81045PEI	N	LIM2__81045PEI	Y	auto_filled_from_archiveSummary
b9141	b9141.raw	Intensity	Intensity b9141	81045PEI	A04	B	b9141	EXOG	81045PEI	N	EXOG__81045PEI	Y	auto_filled_from_archiveSummary
