oldName	newName	info	oldFileSize	newFileSize	fileExists	fileCopied
q9104_81129_H01_B_00129_072014_18101.raw	q9104.raw	"Bait:KCNC4 (81129, H01)"	179360057	179360057	1	1
q9084_81129_E09_B_00129_072014_18065.raw	q9084.raw	"Bait:KRIT1 (81129, E09)"	196107436	196107436	1	1
q9660_81129_E09_C_00129_082214_19436.raw	q9660.raw	"Bait:KRIT1 (81129, E09)"	150855053	150855053	1	1
b10668_81129_C03_A_00129_071614_17751.raw	b10668.raw	"Bait:LILRB3 (81129, C03)"	193820691	193820691	1	1
j11775_81129_C03_B_00129_071714_17955.raw	j11775.raw	"Bait:LILRB3 (81129, C03)"	201411591	201411591	1	1
b10771_81129_F02_B_00129_072014_18113.raw	b10771.raw	"Bait:LINGO2 (81129, F02)"	180865740	180865740	1	1
q9661_81129_F02_C_00129_082214_19437.raw	q9661.raw	"Bait:LINGO2 (81129, F02)"	149335276	149335276	1	1
j11797_81129_F05_A_00129_071814_18002.raw	j11797.raw	"Bait:LRRC33 (81129, F05)"	188300874	188300874	1	1
b10768_81129_F05_B_00129_072014_18105.raw	b10768.raw	"Bait:LRRC33 (81129, F05)"	200728668	200728668	1	1
b10687_81129_D11_A_00129_071614_17922.raw	b10687.raw	"Bait:LRRC36 (81129, D11)"	190147584	190147584	1	1
q9034_81129_D11_B_00129_071714_17947.raw	q9034.raw	"Bait:LRRC36 (81129, D11)"	181135864	181135864	1	1
j11757_81129_B04_A_00129_071614_17909.raw	j11757.raw	"Bait:LSR (81129, B04)"	202170150	202170150	1	1
b10715_81129_B04_B_00129_071814_17990.raw	b10715.raw	"Bait:LSR (81129, B04)"	182385791	182385791	1	1
b10675_81129_C12_A_00129_071614_17844.raw	b10675.raw	"Bait:MAP7D2 (81129, C12)"	188919848	188919848	1	1
j11768_81129_C12_B_00129_071714_17935.raw	j11768.raw	"Bait:MAP7D2 (81129, C12)"	220465939	220465939	1	1
b10755_81129_G06_B_00129_072014_18078.raw	b10755.raw	"Bait:BCL6 (81129, G06)"	195708229	195708229	1	1
q9669_81129_G06_C_00129_082214_19445.raw	q9669.raw	"Bait:BCL6 (81129, G06)"	158444469	158444469	1	1
j11760_81129_B07_A_00129_071614_17916.raw	j11760.raw	"Bait:MAPK8IP1 (81129, B07)"	215107188	215107188	1	1
b10712_81129_B07_B_00129_071814_17982.raw	b10712.raw	"Bait:MAPK8IP1 (81129, B07)"	194914440	194914440	1	1
b10671_81129_C07_A_00129_071614_17761.raw	b10671.raw	"Bait:MCF2L2 (81129, C07)"	199762628	199762628	1	1
j11772_81129_C07_B_00129_071714_17945.raw	j11772.raw	"Bait:MCF2L2 (81129, C07)"	223883771	223883771	1	1
j11814_81129_G10_A_00129_071814_18047.raw	j11814.raw	"Bait:MME (81129, G10)"	177139344	177139344	1	1
b10751_81129_G10_B_00129_072014_18071.raw	b10751.raw	"Bait:MME (81129, G10)"	192789472	192789472	1	1
b10754_81129_G07_B_00129_072014_18077.raw	b10754.raw	"Bait:NEBL (81129, G07)"	200522045	200522045	1	1
q9670_81129_G07_C_00129_082214_19446.raw	q9670.raw	"Bait:NEBL (81129, G07)"	163333895	163333895	1	1
b10767_81129_F07_B_00129_072014_18103.raw	b10767.raw	"Bait:NFATC1 (81129, F07)"	187788778	187788778	1	1
q9663_81129_F07_C_00129_082214_19439.raw	q9663.raw	"Bait:NFATC1 (81129, F07)"	144579836	144579836	1	1
j11746_81129_A07_A_00129_071614_17760.raw	j11746.raw	"Bait:NHSL2 (81129, A07)"	207786492	207786492	1	1
b10696_81129_A07_B_00129_071714_17942.raw	b10696.raw	"Bait:NHSL2 (81129, A07)"	190148955	190148955	1	1
j11761_81129_B08_A_00129_071614_17920.raw	j11761.raw	"Bait:NOX5 (81129, B08)"	205024130	205024130	1	1
b10711_81129_B08_B_00129_071814_17979.raw	b10711.raw	"Bait:NOX5 (81129, B08)"	187010871	187010871	1	1
b10670_81129_C06_A_00129_071614_17758.raw	b10670.raw	"Bait:PARP12 (81129, C06)"	205743987	205743987	1	1
