sample_id	raw_file_name	quant_type	source_column	bait_name	condition	is_control	replicate_group	keep	notes
b13297	b13297.raw	Intensity	Intensity b13297	COX7C	81002	N	COX7C__81002	Y	platewell=F09; replicate=B
b13300	b13300.raw	Intensity	Intensity b13300	USMG5	81002	N	USMG5__81002	Y	platewell=F05; replicate=B
b13301	b13301.raw	Intensity	Intensity b13301	MT2A	81002	N	MT2A__81002	Y	platewell=F03; replicate=B
b13305	b13305.raw	Intensity	Intensity b13305	GNG5	81002	N	GNG5__81002	Y	platewell=H10; replicate=B
b13306	b13306.raw	Intensity	Intensity b13306	COX17	81002	N	COX17__81002	Y	platewell=H09; replicate=B
b13307	b13307.raw	Intensity	Intensity b13307	SBDSP1	81002	N	SBDSP1__81002	Y	platewell=H08; replicate=B
b13349	b13349.raw	Intensity	Intensity b13349	NBR2	81002	N	NBR2__81002	Y	platewell=E09; replicate=B
b13352	b13352.raw	Intensity	Intensity b13352	RPS28	81002	N	RPS28__81002	Y	platewell=E04; replicate=B
b13353	b13353.raw	Intensity	Intensity b13353	POLR2L	81002	N	POLR2L__81002	Y	platewell=E03; replicate=B
b13358	b13358.raw	Intensity	Intensity b13358	ATOX1	81002	N	ATOX1__81002	Y	platewell=A03; replicate=C
b13359	b13359.raw	Intensity	Intensity b13359	MTCP1NB	81002	N	MTCP1NB__81002	Y	platewell=A11; replicate=C
b13360	b13360.raw	Intensity	Intensity b13360	DEFB106A	81002	N	DEFB106A__81002	Y	platewell=B02; replicate=C
b13361	b13361.raw	Intensity	Intensity b13361	MRPL33	81002	N	MRPL33__81002	Y	platewell=B05; replicate=C
b13364	b13364.raw	Intensity	Intensity b13364	C16orf74	81002	N	C16orf74__81002	Y	platewell=C01; replicate=C
b13365	b13365.raw	Intensity	Intensity b13365	LENEP	81002	N	LENEP__81002	Y	platewell=D11; replicate=C
b13367	b13367.raw	Intensity	Intensity b13367	MT2A	81002	N	MT2A__81002	Y	platewell=F03; replicate=C
b13409	b13409.raw	Intensity	Intensity b13409	USMG5	81002	N	USMG5__81002	Y	platewell=F05; replicate=C
b13412	b13412.raw	Intensity	Intensity b13412	COX7C	81002	N	COX7C__81002	Y	platewell=F09; replicate=C
b13414	b13414.raw	Intensity	Intensity b13414	ATP5I	81002	N	ATP5I__81002	Y	platewell=G04; replicate=C
b13416	b13416.raw	Intensity	Intensity b13416	RPS21	81002	N	RPS21__81002	Y	platewell=G10; replicate=C
b13421	b13421.raw	Intensity	Intensity b13421	COX17	81002	N	COX17__81002	Y	platewell=H09; replicate=C
b13423	b13423.raw	Intensity	Intensity b13423	LST1	81002	N	LST1__81002	Y	platewell=D02; replicate=C
b13425	b13425.raw	Intensity	Intensity b13425	SEP15	81002	N	SEP15__81002	Y	platewell=A07; replicate=C
b13883	b13883.raw	Intensity	Intensity b13883	LRFN2	81130	N	LRFN2__81130	Y	platewell=B03; replicate=A
b13884	b13884.raw	Intensity	Intensity b13884	DIS3	81130	N	DIS3__81130	Y	platewell=B04; replicate=A
b13885	b13885.raw	Intensity	Intensity b13885	PCDHGB2	81130	N	PCDHGB2__81130	Y	platewell=B06; replicate=A
b13886	b13886.raw	Intensity	Intensity b13886	PCDHB1	81130	N	PCDHB1__81130	Y	platewell=B07; replicate=A
b13888	b13888.raw	Intensity	Intensity b13888	MOGS	81130	N	MOGS__81130	Y	platewell=B09; replicate=A
b13889	b13889.raw	Intensity	Intensity b13889	GABBR1	81130	N	GABBR1__81130	Y	platewell=B10; replicate=A
b13890	b13890.raw	Intensity	Intensity b13890	RABEP1	81130	N	RABEP1__81130	Y	platewell=B11; replicate=A
b13891	b13891.raw	Intensity	Intensity b13891	RASEF	81130	N	RASEF__81130	Y	platewell=E01; replicate=A
b13892	b13892.raw	Intensity	Intensity b13892	EPC2	81130	N	EPC2__81130	Y	platewell=E02; replicate=A
b13894	b13894.raw	Intensity	Intensity b13894	GTF3C4	81130	N	GTF3C4__81130	Y	platewell=E07; replicate=A
b13895	b13895.raw	Intensity	Intensity b13895	PCDHGC5	81130	N	PCDHGC5__81130	Y	platewell=E11; replicate=A
b13896	b13896.raw	Intensity	Intensity b13896	PNPT1	81130	N	PNPT1__81130	Y	platewell=F02; replicate=A
b13897	b13897.raw	Intensity	Intensity b13897	GSG2	81130	N	GSG2__81130	Y	platewell=F04; replicate=A
b13898	b13898.raw	Intensity	Intensity b13898	ARHGAP12	81130	N	ARHGAP12__81130	Y	platewell=F09; replicate=A
b13899	b13899.raw	Intensity	Intensity b13899	PHF14	81130	N	PHF14__81130	Y	platewell=F11; replicate=A
b14377	b14377.raw	Intensity	Intensity b14377	EMP3	81033PEI	N	EMP3__81033PEI	Y	platewell=E03; replicate=A
b14378	b14378.raw	Intensity	Intensity b14378	UPP1	81033PEI	N	UPP1__81033PEI	Y	platewell=E04; replicate=A
b14381	b14381.raw	Intensity	Intensity b14381	LAGE3	81033PEI	N	LAGE3__81033PEI	Y	platewell=E07; replicate=A
b14382	b14382.raw	Intensity	Intensity b14382	C4orf39	81033PEI	N	C4orf39__81033PEI	Y	platewell=E08; replicate=A
b14386	b14386.raw	Intensity	Intensity b14386	MS4A6E	81033PEI	N	MS4A6E__81033PEI	Y	platewell=E10; replicate=A
b14391	b14391.raw	Intensity	Intensity b14391	NDUFAF4	81033PEI	N	NDUFAF4__81033PEI	Y	platewell=F04; replicate=A
b14394	b14394.raw	Intensity	Intensity b14394	TWIST2	81033PEI	N	TWIST2__81033PEI	Y	platewell=F08; replicate=A
b14396	b14396.raw	Intensity	Intensity b14396	LAIR2	81033PEI	N	LAIR2__81033PEI	Y	platewell=F10; replicate=A
b14412	b14412.raw	Intensity	Intensity b14412	TNFSF18	81033PEI	N	TNFSF18__81033PEI	Y	platewell=D12; replicate=B
b14413	b14413.raw	Intensity	Intensity b14413	LEP	81033PEI	N	LEP__81033PEI	Y	platewell=D11; replicate=B
b14415	b14415.raw	Intensity	Intensity b14415	PTP4A1	81033PEI	N	PTP4A1__81033PEI	Y	platewell=D09; replicate=B
b14416	b14416.raw	Intensity	Intensity b14416	ZNHIT1	81033PEI	N	ZNHIT1__81033PEI	Y	platewell=D08; replicate=B
b14417	b14417.raw	Intensity	Intensity b14417	C9orf85	81033PEI	N	C9orf85__81033PEI	Y	platewell=D06; replicate=B
b14422	b14422.raw	Intensity	Intensity b14422	OMP	81033PEI	N	OMP__81033PEI	Y	platewell=C11; replicate=B
b14424	b14424.raw	Intensity	Intensity b14424	C6orf136	81033PEI	N	C6orf136__81033PEI	Y	platewell=C09; replicate=B
b14425	b14425.raw	Intensity	Intensity b14425	MRPL23	81033PEI	N	MRPL23__81033PEI	Y	platewell=C08; replicate=B
b14426	b14426.raw	Intensity	Intensity b14426	UBL4B	81033PEI	N	UBL4B__81033PEI	Y	platewell=C07; replicate=B
b14427	b14427.raw	Intensity	Intensity b14427	SIN3A	81033PEI	N	SIN3A__81033PEI	Y	platewell=C06; replicate=B
b14428	b14428.raw	Intensity	Intensity b14428	MORN4	81033PEI	N	MORN4__81033PEI	Y	platewell=C05; replicate=B
b14429	b14429.raw	Intensity	Intensity b14429	CGGBP1	81033PEI	N	CGGBP1__81033PEI	Y	platewell=C04; replicate=B
b14430	b14430.raw	Intensity	Intensity b14430	SPRYD7	81033PEI	N	SPRYD7__81033PEI	Y	platewell=C03; replicate=B
b14432	b14432.raw	Intensity	Intensity b14432	OTUD3	81033PEI	N	OTUD3__81033PEI	Y	platewell=C01; replicate=B
b14435	b14435.raw	Intensity	Intensity b14435	IL20	81033PEI	N	IL20__81033PEI	Y	platewell=B12; replicate=B
b14437	b14437.raw	Intensity	Intensity b14437	CST5	81033PEI	N	CST5__81033PEI	Y	platewell=B10; replicate=B
b14438	b14438.raw	Intensity	Intensity b14438	FGFR1OP2	81033PEI	N	FGFR1OP2__81033PEI	Y	platewell=B09; replicate=B
b14439	b14439.raw	Intensity	Intensity b14439	MTRF1	81033PEI	N	MTRF1__81033PEI	Y	platewell=B08; replicate=B
b14440	b14440.raw	Intensity	Intensity b14440	HBXIP	81033PEI	N	HBXIP__81033PEI	Y	platewell=B07; replicate=B
b14441	b14441.raw	Intensity	Intensity b14441	NINJ2	81033PEI	N	NINJ2__81033PEI	Y	platewell=B05; replicate=B
b14444	b14444.raw	Intensity	Intensity b14444	C2orf73	81033PEI	N	C2orf73__81033PEI	Y	platewell=B02; replicate=B
