idRun	idBait	sample_id	replicate_group	replicate_letter	raw_file_name
b8604	TCP11L2	b8604	TCP11L2	B	b8604.raw
b8608	PDE4D	b8608	PDE4D	A	b8608.raw
b8609	FLVCR2	b8609	FLVCR2	A	b8609.raw
b8610	WHSC2	b8610	WHSC2	A	b8610.raw
b8611	LAP3	b8611	LAP3	A	b8611.raw
b8612	CDC16	b8612	CDC16	A	b8612.raw
b8613	C17orf53	b8613	C17orf53	A	b8613.raw
b8614	ASB3	b8614	ASB3	A	b8614.raw
b8615	OMA1	b8615	OMA1	A	b8615.raw
b8616	ALPI	b8616	ALPI	A	b8616.raw
b8617	VNN2	b8617	VNN2	A	b8617.raw
b8621	SYNCRIP	b8621	SYNCRIP	A	b8621.raw
b8623	ACCN2	b8623	ACCN2	A	b8623.raw
b8624	OCLN	b8624	OCLN	A	b8624.raw
b8625	ATG9A	b8625	ATG9A	A	b8625.raw
b8626	PDZK1	b8626	PDZK1	A	b8626.raw
b8627	SLC1A1	b8627	SLC1A1	A	b8627.raw
b8628	UGT2A3	b8628	UGT2A3	A	b8628.raw
b8629	USP3	b8629	USP3	A	b8629.raw
b8633	VANGL2	b8633	VANGL2	B	b8633.raw
b8634	SIAE	b8634	SIAE	B	b8634.raw
b8635	CDK17	b8635	CDK17	B	b8635.raw
b8636	CORO2A	b8636	CORO2A	B	b8636.raw
b8637	ZNF572	b8637	ZNF572	B	b8637.raw
b8647	PNLDC1	b8647	PNLDC1	B	b8647.raw
b8649	APEX2	b8649	APEX2	B	b8649.raw
b8650	MFSD8	b8650	MFSD8	B	b8650.raw
b8651	LRRTM1	b8651	LRRTM1	B	b8651.raw
b8652	ZNF768	b8652	ZNF768	B	b8652.raw
b8653	PFKFB3	b8653	PFKFB3	B	b8653.raw
b8654	NHEDC2	b8654	NHEDC2	B	b8654.raw
b8655	GPR114	b8655	GPR114	B	b8655.raw
b8656	TBX22	b8656	TBX22	B	b8656.raw
b8657	CAMKK1	b8657	CAMKK1	B	b8657.raw
b8659	ALPL	b8659	ALPL	B	b8659.raw
b8661	OXCT1	b8661	OXCT1	B	b8661.raw
b8662	FBXO7	b8662	FBXO7	B	b8662.raw
b8663	ZNF454	b8663	ZNF454	B	b8663.raw
b8667	QRSL1	b8667	QRSL1	B	b8667.raw
b8669	KBTBD4	b8669	KBTBD4	B	b8669.raw
b8672	UGT3A2	b8672	UGT3A2	B	b8672.raw
b8673	MAOA	b8673	MAOA	B	b8673.raw
b8675	PRPF4	b8675	PRPF4	B	b8675.raw
b8679	GPR161	b8679	GPR161	B	b8679.raw
b8680	HEXA	b8680	HEXA	B	b8680.raw
b8681	C16orf71	b8681	C16orf71	B	b8681.raw
b8687	TULP2	b8687	TULP2	B	b8687.raw
b8688	DEPDC1	b8688	DEPDC1	B	b8688.raw
b8690	BAIAP2	b8690	BAIAP2	B	b8690.raw
b8691	DCT	b8691	DCT	B	b8691.raw
b8692	CREB3L1	b8692	CREB3L1	B	b8692.raw
b9103	YAF2	b9103	YAF2	A	b9103.raw
b9104	GJB7	b9104	GJB7	A	b9104.raw
b9105	RIT1	b9105	RIT1	A	b9105.raw
b9106	TMEM182	b9106	TMEM182	A	b9106.raw
b9107	IFNW1	b9107	IFNW1	A	b9107.raw
b9108	RAB41	b9108	RAB41	A	b9108.raw
b9109	DTD1	b9109	DTD1	A	b9109.raw
b9110	RAB5C	b9110	RAB5C	A	b9110.raw
b9112	IL22RA2	b9112	IL22RA2	A	b9112.raw
b9113	NEK2	b9113	NEK2	A	b9113.raw
b9117	SCN3B	b9117	SCN3B	A	b9117.raw
b9118	HTR3D	b9118	HTR3D	A	b9118.raw
b9119	C9orf139	b9119	C9orf139	A	b9119.raw
b9120	IL29	b9120	IL29	A	b9120.raw
b9121	BCL7A	b9121	BCL7A	A	b9121.raw
b9122	BAG2	b9122	BAG2	A	b9122.raw
b9123	ARHGEF38	b9123	ARHGEF38	A	b9123.raw
b9124	SULT1C4	b9124	SULT1C4	A	b9124.raw
b9125	CNTF	b9125	CNTF	A	b9125.raw
b9129	RABL2A	b9129	RABL2A	B	b9129.raw
b9130	IFNA1	b9130	IFNA1	B	b9130.raw
b9131	LHFPL4	b9131	LHFPL4	B	b9131.raw
b9132	C16orf54	b9132	C16orf54	B	b9132.raw
b9133	RECK	b9133	RECK	B	b9133.raw
b9134	C10orf107	b9134	C10orf107	B	b9134.raw
b9136	UBAC2	b9136	UBAC2	B	b9136.raw
b9137	PRR20A	b9137	PRR20A	B	b9137.raw
b9138	TM2D2	b9138	TM2D2	B	b9138.raw
b9139	LIM2	b9139	LIM2	B	b9139.raw
b9141	EXOG	b9141	EXOG	B	b9141.raw
b9143	RAB28	b9143	RAB28	B	b9143.raw
b9144	ZNF428	b9144	ZNF428	B	b9144.raw
b9149	OAZ3	b9149	OAZ3	B	b9149.raw
b9151	HIST1H1E	b9151	HIST1H1E	B	b9151.raw
b9152	CRYBB3	b9152	CRYBB3	B	b9152.raw
b9165	PRR16	b9165	PRR16	B	b9165.raw
b9166	NKAIN4	b9166	NKAIN4	B	b9166.raw
b9168	C11orf85	b9168	C11orf85	A	b9168.raw
b9169	CD79A	b9169	CD79A	A	b9169.raw
b9170	TICAM2	b9170	TICAM2	A	b9170.raw
b9171	BCL2L2	b9171	BCL2L2	A	b9171.raw
b9172	C9orf106	b9172	C9orf106	A	b9172.raw
b9173	C3orf43	b9173	C3orf43	A	b9173.raw
b9174	C18orf21	b9174	C18orf21	A	b9174.raw
b9175	C19orf39	b9175	C19orf39	A	b9175.raw
b9176	REEP1	b9176	REEP1	A	b9176.raw
b9187	ASB14	b9187	ASB14	B	b9187.raw
b9188	OFCC1	b9188	OFCC1	B	b9188.raw
b9189	SYNGR4	b9189	SYNGR4	B	b9189.raw
b9190	C12orf69	b9190	C12orf69	B	b9190.raw
b9193	RWDD4	b9193	RWDD4	B	b9193.raw
b9195	ZNF586	b9195	ZNF586	B	b9195.raw
b9213	FGFRL1	b9213	FGFRL1	A	b9213.raw
b9216	PRCC	b9216	PRCC	A	b9216.raw
b9217	GCM2	b9217	GCM2	A	b9217.raw
b9218	SASS6	b9218	SASS6	A	b9218.raw
b9222	NMD3	b9222	NMD3	A	b9222.raw
b9223	ZNF512	b9223	ZNF512	A	b9223.raw
b9224	ATF2	b9224	ATF2	A	b9224.raw
b9225	USP14	b9225	USP14	A	b9225.raw
b9226	PRPF19	b9226	PRPF19	A	b9226.raw
b9227	TBC1D22B	b9227	TBC1D22B	A	b9227.raw
b9228	PRPF31	b9228	PRPF31	A	b9228.raw
b9229	FSCN2	b9229	FSCN2	A	b9229.raw
b9230	RSL1D1	b9230	RSL1D1	A	b9230.raw
b9233	ZC3HC1	b9233	ZC3HC1	A	b9233.raw
b9234	EPB41L5	b9234	EPB41L5	A	b9234.raw
b9235	LIPG	b9235	LIPG	A	b9235.raw
b9236	AGXT2L1	b9236	AGXT2L1	A	b9236.raw
b9237	CAMKV	b9237	CAMKV	A	b9237.raw
b9238	ZSCAN5A	b9238	ZSCAN5A	A	b9238.raw
b9239	FAM114A2	b9239	FAM114A2	A	b9239.raw
b9240	TTC7A	b9240	TTC7A	A	b9240.raw
b9241	LIPC	b9241	LIPC	A	b9241.raw
b9242	ZNF517	b9242	ZNF517	A	b9242.raw
b9243	PRKAG3	b9243	PRKAG3	A	b9243.raw
b9247	AMIGO3	b9247	AMIGO3	B	b9247.raw
b9248	HARS2	b9248	HARS2	B	b9248.raw
b9249	CDC20	b9249	CDC20	B	b9249.raw
b9250	SLC2A6	b9250	SLC2A6	B	b9250.raw
b9251	WASL	b9251	WASL	B	b9251.raw
b9252	PSMD5	b9252	PSMD5	B	b9252.raw
b9253	KLHL29	b9253	KLHL29	B	b9253.raw
b9254	ALDH1L1	b9254	ALDH1L1	B	b9254.raw
b9257	CYP2S1	b9257	CYP2S1	A	b9257.raw
b9258	PNPLA2	b9258	PNPLA2	A	b9258.raw
b9259	TEKT3	b9259	TEKT3	A	b9259.raw
b9260	CCDC88C	b9260	CCDC88C	A	b9260.raw
b9262	SLC2A5	b9262	SLC2A5	A	b9262.raw
b9264	UBAP1	b9264	UBAP1	A	b9264.raw
b9265	NEU4	b9265	NEU4	A	b9265.raw
b9354	RNF6	b9354	RNF6	A	b9354.raw
b9355	NCSTN	b9355	NCSTN	A	b9355.raw
b9356	ACSBG2	b9356	ACSBG2	A	b9356.raw
b9357	KIF2B	b9357	KIF2B	A	b9357.raw
b9358	BMX	b9358	BMX	A	b9358.raw
b9359	LZTS2	b9359	LZTS2	A	b9359.raw
b9360	DPYSL3	b9360	DPYSL3	A	b9360.raw
b9361	FANCM	b9361	FANCM	A	b9361.raw
b9362	PRDM1	b9362	PRDM1	A	b9362.raw
b9363	PLK1S1	b9363	PLK1S1	A	b9363.raw
b9366	ALOX5	b9366	ALOX5	B	b9366.raw
b9367	SLC39A12	b9367	SLC39A12	B	b9367.raw
b9369	VASN	b9369	VASN	B	b9369.raw
b9370	KIF22	b9370	KIF22	B	b9370.raw
b9371	FLRT1	b9371	FLRT1	B	b9371.raw
b9372	NALCN	b9372	NALCN	B	b9372.raw
b9373	LIMK2	b9373	LIMK2	B	b9373.raw
b9374	FAM190A	b9374	FAM190A	B	b9374.raw
b9375	FAM189B	b9375	FAM189B	B	b9375.raw
b9379	CD6	b9379	CD6	A	b9379.raw
b9380	CIRH1A	b9380	CIRH1A	A	b9380.raw
b9381	GFPT2	b9381	GFPT2	A	b9381.raw
b9382	FBXL5	b9382	FBXL5	A	b9382.raw
b9383	FBXO30	b9383	FBXO30	A	b9383.raw
b9384	HSPA9	b9384	HSPA9	A	b9384.raw
b9386	LCA5L	b9386	LCA5L	A	b9386.raw
b9387	PCDHA10	b9387	PCDHA10	A	b9387.raw
b9388	PRKCA	b9388	PRKCA	A	b9388.raw
b9391	ABCG8	b9391	ABCG8	B	b9391.raw
b9392	DNA2	b9392	DNA2	B	b9392.raw
b9393	DBF4	b9393	DBF4	B	b9393.raw
b9394	HBS1L	b9394	HBS1L	B	b9394.raw
b9395	BBS7	b9395	BBS7	B	b9395.raw
b9396	SLC20A1	b9396	SLC20A1	B	b9396.raw
b9401	CAPN13	b9401	CAPN13	B	b9401.raw
b9402	TRPM8	b9402	TRPM8	B	b9402.raw
b9403	KIF2A	b9403	KIF2A	B	b9403.raw
b9404	DDX31	b9404	DDX31	B	b9404.raw
b9405	PRKG1	b9405	PRKG1	B	b9405.raw
b9406	RHPN1	b9406	RHPN1	B	b9406.raw
b9407	POLR3E	b9407	POLR3E	B	b9407.raw
b9408	ACOX2	b9408	ACOX2	B	b9408.raw
b9443	GIMAP8	b9443	GIMAP8	B	b9443.raw
b9445	LRRC45	b9445	LRRC45	B	b9445.raw
b9446	SLC25A13	b9446	SLC25A13	B	b9446.raw
b9447	ESRP1	b9447	ESRP1	B	b9447.raw
b9481	CSN2	b9481	CSN2	C	b9481.raw
b9482	PRG3	b9482	PRG3	C	b9482.raw
b9484	SPATA12	b9484	SPATA12	C	b9484.raw
b9486	DKK4	b9486	DKK4	C	b9486.raw
b9487	SCN3B	b9487	SCN3B	C	b9487.raw
b9647	SCFD2	b9647	SCFD2	B	b9647.raw
b9958	DBF4	b9958	DBF4	C	b9958.raw
b9959	RHPN1	b9959	RHPN1	C	b9959.raw
b9960	PRKG1	b9960	PRKG1	C	b9960.raw
b9962	ANXA6	b9962	ANXA6	A	b9962.raw
j10274	ZNF428	j10274	ZNF428	A	j10274.raw
j10275	RAB28	j10275	RAB28	A	j10275.raw
j10277	EXOG	j10277	EXOG	A	j10277.raw
j10279	LIM2	j10279	LIM2	A	j10279.raw
j10280	TM2D2	j10280	TM2D2	A	j10280.raw
j10281	PRR20A	j10281	PRR20A	A	j10281.raw
j10282	UBAC2	j10282	UBAC2	A	j10282.raw
j10286	NKAIN4	j10286	NKAIN4	A	j10286.raw
j10287	PRR16	j10287	PRR16	A	j10287.raw
j10288	DKK4	j10288	DKK4	A	j10288.raw
j10290	SPATA12	j10290	SPATA12	A	j10290.raw
j10292	PRG3	j10292	PRG3	A	j10292.raw
j10293	CRYBB3	j10293	CRYBB3	A	j10293.raw
j10294	HIST1H1E	j10294	HIST1H1E	A	j10294.raw
j10295	CSN2	j10295	CSN2	A	j10295.raw
j10296	OAZ3	j10296	OAZ3	A	j10296.raw
j10300	MAU2	j10300	MAU2	B	j10300.raw
j10302	CRP	j10302	CRP	B	j10302.raw
j10303	MOBKL2C	j10303	MOBKL2C	B	j10303.raw
j10304	TNNI3	j10304	TNNI3	B	j10304.raw
j10306	IFNA4	j10306	IFNA4	B	j10306.raw
j10307	TTLL9	j10307	TTLL9	B	j10307.raw
j10309	SOCS3	j10309	SOCS3	B	j10309.raw
j10310	RAB15	j10310	RAB15	B	j10310.raw
j10313	CNTF	j10313	CNTF	B	j10313.raw
j10314	SULT1C4	j10314	SULT1C4	B	j10314.raw
j10315	ARHGEF38	j10315	ARHGEF38	B	j10315.raw
j10316	BAG2	j10316	BAG2	B	j10316.raw
j10317	BCL7A	j10317	BCL7A	B	j10317.raw
j10318	IL29	j10318	IL29	B	j10318.raw
j10319	C9orf139	j10319	C9orf139	B	j10319.raw
j10320	HTR3D	j10320	HTR3D	B	j10320.raw
j10327	NEK2	j10327	NEK2	B	j10327.raw
j10328	IL22RA2	j10328	IL22RA2	B	j10328.raw
j10330	RAB5C	j10330	RAB5C	B	j10330.raw
j10331	DTD1	j10331	DTD1	B	j10331.raw
j10332	RAB41	j10332	RAB41	B	j10332.raw
j10333	IFNW1	j10333	IFNW1	B	j10333.raw
j10334	TMEM182	j10334	TMEM182	B	j10334.raw
j10335	RIT1	j10335	RIT1	B	j10335.raw
j10336	GJB7	j10336	GJB7	B	j10336.raw
j10337	YAF2	j10337	YAF2	B	j10337.raw
j10342	C12orf69	j10342	C12orf69	A	j10342.raw
j10343	SYNGR4	j10343	SYNGR4	A	j10343.raw
j10344	OFCC1	j10344	OFCC1	A	j10344.raw
j10345	ASB14	j10345	ASB14	A	j10345.raw
j10363	REEP1	j10363	REEP1	B	j10363.raw
j10364	C19orf39	j10364	C19orf39	B	j10364.raw
j10365	C18orf21	j10365	C18orf21	B	j10365.raw
j10366	C3orf43	j10366	C3orf43	B	j10366.raw
j10367	C9orf106	j10367	C9orf106	B	j10367.raw
j10368	BCL2L2	j10368	BCL2L2	B	j10368.raw
j10369	TICAM2	j10369	TICAM2	B	j10369.raw
j10370	CD79A	j10370	CD79A	B	j10370.raw
j10371	C11orf85	j10371	C11orf85	B	j10371.raw
j10382	CRISPLD1	j10382	CRISPLD1	A	j10382.raw
j10383	TRAF2	j10383	TRAF2	A	j10383.raw
j10384	INTS4	j10384	INTS4	A	j10384.raw
j10385	DHX30	j10385	DHX30	A	j10385.raw
j10386	PLB1	j10386	PLB1	A	j10386.raw
j10387	ANGPT2	j10387	ANGPT2	A	j10387.raw
j10388	THUMPD3	j10388	THUMPD3	A	j10388.raw
j10389	CHD2	j10389	CHD2	A	j10389.raw
j10390	GDF5	j10390	GDF5	A	j10390.raw
j10391	RFTN2	j10391	RFTN2	A	j10391.raw
j10392	CYP2A7	j10392	CYP2A7	A	j10392.raw
j10393	ZSCAN22	j10393	ZSCAN22	A	j10393.raw
j10396	CYP3A5	j10396	CYP3A5	A	j10396.raw
j10397	PDHX	j10397	PDHX	A	j10397.raw
j10398	SHMT2	j10398	SHMT2	A	j10398.raw
j10399	SLC24A5	j10399	SLC24A5	A	j10399.raw
j10400	NF2	j10400	NF2	A	j10400.raw
j10401	TFCP2	j10401	TFCP2	A	j10401.raw
j10402	C10orf2	j10402	C10orf2	A	j10402.raw
j10403	HHAT	j10403	HHAT	A	j10403.raw
j10404	SMYD1	j10404	SMYD1	A	j10404.raw
j10407	ALDH1L1	j10407	ALDH1L1	A	j10407.raw
j10408	KLHL29	j10408	KLHL29	A	j10408.raw
j10409	PSMD5	j10409	PSMD5	A	j10409.raw
j10410	WASL	j10410	WASL	A	j10410.raw
j10411	SLC2A6	j10411	SLC2A6	A	j10411.raw
j10412	CDC20	j10412	CDC20	A	j10412.raw
j10413	HARS2	j10413	HARS2	A	j10413.raw
j10414	AMIGO3	j10414	AMIGO3	A	j10414.raw
j10419	KCNJ3	j10419	KCNJ3	A	j10419.raw
j10420	ACCS	j10420	ACCS	A	j10420.raw
j10421	ACVRL1	j10421	ACVRL1	A	j10421.raw
j10422	ANXA11	j10422	ANXA11	A	j10422.raw
j10423	CLCC1	j10423	CLCC1	A	j10423.raw
j10424	CYP2E1	j10424	CYP2E1	A	j10424.raw
j10425	FMN1	j10425	FMN1	A	j10425.raw
j10426	OXA1L	j10426	OXA1L	A	j10426.raw
j10427	TXNRD2	j10427	TXNRD2	A	j10427.raw
j10431	PRKAG3	j10431	PRKAG3	B	j10431.raw
j10432	ZNF517	j10432	ZNF517	B	j10432.raw
j10433	LIPC	j10433	LIPC	B	j10433.raw
j10434	TTC7A	j10434	TTC7A	B	j10434.raw
j10435	FAM114A2	j10435	FAM114A2	B	j10435.raw
j10436	ZSCAN5A	j10436	ZSCAN5A	B	j10436.raw
j10437	CAMKV	j10437	CAMKV	B	j10437.raw
j10438	AGXT2L1	j10438	AGXT2L1	B	j10438.raw
j10439	LIPG	j10439	LIPG	B	j10439.raw
j10440	EPB41L5	j10440	EPB41L5	B	j10440.raw
j10441	ZC3HC1	j10441	ZC3HC1	B	j10441.raw
j10445	SLC2A5	j10445	SLC2A5	B	j10445.raw
j10447	CCDC88C	j10447	CCDC88C	B	j10447.raw
j10448	TEKT3	j10448	TEKT3	B	j10448.raw
j10449	PNPLA2	j10449	PNPLA2	B	j10449.raw
j10450	CYP2S1	j10450	CYP2S1	B	j10450.raw
j10488	NEU4	j10488	NEU4	B	j10488.raw
j10489	UBAP1	j10489	UBAP1	B	j10489.raw
j10538	PLK1S1	j10538	PLK1S1	B	j10538.raw
j10539	PRDM1	j10539	PRDM1	B	j10539.raw
j10540	FANCM	j10540	FANCM	B	j10540.raw
j10541	DPYSL3	j10541	DPYSL3	B	j10541.raw
j10542	LZTS2	j10542	LZTS2	B	j10542.raw
j10543	BMX	j10543	BMX	B	j10543.raw
j10544	KIF2B	j10544	KIF2B	B	j10544.raw
j10545	ACSBG2	j10545	ACSBG2	B	j10545.raw
j10546	NCSTN	j10546	NCSTN	B	j10546.raw
j10547	RNF6	j10547	RNF6	B	j10547.raw
j10550	ACOX2	j10550	ACOX2	A	j10550.raw
j10551	POLR3E	j10551	POLR3E	A	j10551.raw
j10554	DDX31	j10554	DDX31	A	j10554.raw
j10555	KIF2A	j10555	KIF2A	A	j10555.raw
j10556	TRPM8	j10556	TRPM8	A	j10556.raw
j10557	CAPN13	j10557	CAPN13	A	j10557.raw
j10560	PRKCA	j10560	PRKCA	B	j10560.raw
j10561	PCDHA10	j10561	PCDHA10	B	j10561.raw
j10562	LCA5L	j10562	LCA5L	B	j10562.raw
j10564	HSPA9	j10564	HSPA9	B	j10564.raw
j10565	FBXO30	j10565	FBXO30	B	j10565.raw
j10566	FBXL5	j10566	FBXL5	B	j10566.raw
j10567	GFPT2	j10567	GFPT2	B	j10567.raw
j10568	CIRH1A	j10568	CIRH1A	B	j10568.raw
j10569	CD6	j10569	CD6	B	j10569.raw
j10572	ANXA6	j10572	ANXA6	B	j10572.raw
j10573	TNXB	j10573	TNXB	B	j10573.raw
j10574	PAK6	j10574	PAK6	B	j10574.raw
j10575	ATMIN	j10575	ATMIN	B	j10575.raw
j10576	OAS2	j10576	OAS2	B	j10576.raw
j10778	FERMT2	j10778	FERMT2	B	j10778.raw
j10779	ALOX15B	j10779	ALOX15B	B	j10779.raw
j10780	MPP5	j10780	MPP5	B	j10780.raw
j10781	TP63	j10781	TP63	B	j10781.raw
j10782	GLB1	j10782	GLB1	B	j10782.raw
j10783	SYDE1	j10783	SYDE1	B	j10783.raw
j10784	RPH3A	j10784	RPH3A	B	j10784.raw
j10785	SH3KBP1	j10785	SH3KBP1	B	j10785.raw
j10786	WDTC1	j10786	WDTC1	B	j10786.raw
j10787	SCEL	j10787	SCEL	B	j10787.raw
j10936	OXA1L	j10936	OXA1L	C	j10936.raw
j10937	CYP2E1	j10937	CYP2E1	C	j10937.raw
j13305	NOP2	j13305	NOP2	A	j13305.raw
j13306	NAA15	j13306	NAA15	A	j13306.raw
j13307	GTF3C3	j13307	GTF3C3	A	j13307.raw
j13308	SLC14A2	j13308	SLC14A2	A	j13308.raw
j13309	ENPEP	j13309	ENPEP	A	j13309.raw
j13310	IGHMBP2	j13310	IGHMBP2	A	j13310.raw
j13311	LLGL2	j13311	LLGL2	A	j13311.raw
j13312	PPP2R3A	j13312	PPP2R3A	A	j13312.raw
j13313	CGN	j13313	CGN	A	j13313.raw
j13314	CGNL1	j13314	CGNL1	A	j13314.raw
j13317	COPG	j13317	COPG	A	j13317.raw
j13318	OCRL	j13318	OCRL	A	j13318.raw
j13319	PLEKHG5	j13319	PLEKHG5	A	j13319.raw
j13320	MAGEE1	j13320	MAGEE1	A	j13320.raw
j13321	KANK4	j13321	KANK4	A	j13321.raw
j13322	TUBGCP5	j13322	TUBGCP5	A	j13322.raw
j13323	LRIG1	j13323	LRIG1	A	j13323.raw
j13324	MAML2	j13324	MAML2	A	j13324.raw
j13325	CHL1	j13325	CHL1	A	j13325.raw
j13326	MAPK8IP3	j13326	MAPK8IP3	A	j13326.raw
j13327	YBEY	j13327	YBEY	A	j13327.raw
j13329	EXOC1	j13329	EXOC1	A	j13329.raw
j13330	LRRCC1	j13330	LRRCC1	A	j13330.raw
j13331	SART3	j13331	SART3	A	j13331.raw
j13333	TRHDE	j13333	TRHDE	A	j13333.raw
j13334	THBS2	j13334	THBS2	A	j13334.raw
j13335	AGRP	j13335	AGRP	A	j13335.raw
j13378	GANAB	j13378	GANAB	A	j13378.raw
j13379	ANO6	j13379	ANO6	A	j13379.raw
j13380	ERAP1	j13380	ERAP1	A	j13380.raw
j13381	SYCP1	j13381	SYCP1	A	j13381.raw
j13382	SEMA6D	j13382	SEMA6D	A	j13382.raw
j13383	KRBA1	j13383	KRBA1	A	j13383.raw
j13389	TLR5	j13389	TLR5	A	j13389.raw
j13390	CHSY3	j13390	CHSY3	A	j13390.raw
j13391	PCDHA9	j13391	PCDHA9	A	j13391.raw
j13392	BMP1	j13392	BMP1	A	j13392.raw
j13393	PHF20	j13393	PHF20	A	j13393.raw
j13394	DCLRE1A	j13394	DCLRE1A	A	j13394.raw
j13395	RANBP6	j13395	RANBP6	A	j13395.raw
j13396	PTPN14	j13396	PTPN14	A	j13396.raw
j13397	TECPR2	j13397	TECPR2	A	j13397.raw
j13398	PTPRU	j13398	PTPRU	A	j13398.raw
j13399	TRPC5	j13399	TRPC5	A	j13399.raw
j13407	NSMAF	j13407	NSMAF	B	j13407.raw
j13408	ECT2	j13408	ECT2	B	j13408.raw
j14220	DEFB123	j14220	DEFB123	B	j14220.raw
j14222	ST13	j14222	ST13	B	j14222.raw
j14224	GNG10	j14224	GNG10	B	j14224.raw
j14225	LST1	j14225	LST1	B	j14225.raw
j14229	FAM165B	j14229	FAM165B	B	j14229.raw
j14232	NDUFA1	j14232	NDUFA1	B	j14232.raw
j14246	OAZ1	j14246	OAZ1	A	j14246.raw
j14252	C5orf62	j14252	C5orf62	A	j14252.raw
j14260	SBDSP1	j14260	SBDSP1	A	j14260.raw
j14262	GNG5	j14262	GNG5	A	j14262.raw
j14268	POLR2L	j14268	POLR2L	A	j14268.raw
j14269	RPS28	j14269	RPS28	A	j14269.raw
j14272	NBR2	j14272	NBR2	A	j14272.raw
j14277	NOP10	j14277	NOP10	B	j14277.raw
j14280	MRPL33	j14280	MRPL33	B	j14280.raw
j14281	C5orf13	j14281	C5orf13	B	j14281.raw
j14282	TAC4	j14282	TAC4	B	j14282.raw
j14283	DEFB106A	j14283	DEFB106A	B	j14283.raw
j14285	MTCP1NB	j14285	MTCP1NB	B	j14285.raw
j14294	UQCR10	j14294	UQCR10	B	j14294.raw
j14295	ATOX1	j14295	ATOX1	B	j14295.raw
j14871	KLHL11	j14871	KLHL11	A	j14871.raw
j14872	ECEL1	j14872	ECEL1	A	j14872.raw
j14873	ZMYND8	j14873	ZMYND8	A	j14873.raw
j14874	TLR10	j14874	TLR10	A	j14874.raw
j14875	PCDHGA6	j14875	PCDHGA6	A	j14875.raw
j14876	AXIN2	j14876	AXIN2	A	j14876.raw
j14878	VEZT	j14878	VEZT	A	j14878.raw
j14880	PCDHB3	j14880	PCDHB3	A	j14880.raw
j14881	RGL1	j14881	RGL1	A	j14881.raw
j14884	ABTB2	j14884	ABTB2	A	j14884.raw
j14885	DNM2	j14885	DNM2	A	j14885.raw
j14889	DDHD1	j14889	DDHD1	B	j14889.raw
j14890	TRPC3	j14890	TRPC3	B	j14890.raw
j14891	KIF7	j14891	KIF7	B	j14891.raw
j14893	PCDHA8	j14893	PCDHA8	B	j14893.raw
j14894	TMEM63C	j14894	TMEM63C	B	j14894.raw
j14895	CASD1	j14895	CASD1	B	j14895.raw
j14896	TRPV3	j14896	TRPV3	B	j14896.raw
j14897	CPSF2	j14897	CPSF2	B	j14897.raw
j14898	ZNF280C	j14898	ZNF280C	B	j14898.raw
j14907	KIAA1274	j14907	KIAA1274	B	j14907.raw
j14908	TRIM6-TRIM34	j14908	TRIM6-TRIM34	B	j14908.raw
j14909	SEMA4C	j14909	SEMA4C	B	j14909.raw
j14910	DLG3	j14910	DLG3	B	j14910.raw
j14911	PCDHA11	j14911	PCDHA11	B	j14911.raw
j14912	ANKRD56	j14912	ANKRD56	B	j14912.raw
j14913	SYNPO2L	j14913	SYNPO2L	B	j14913.raw
j14914	SEMA3E	j14914	SEMA3E	A	j14914.raw
j14915	PLG	j14915	PLG	A	j14915.raw
j14916	TXNDC16	j14916	TXNDC16	A	j14916.raw
j14917	SLC9A5	j14917	SLC9A5	A	j14917.raw
j15092	EIF2C1	j15092	EIF2C1	B	j15092.raw
j15093	RBM25	j15093	RBM25	B	j15093.raw
j15094	ACAP3	j15094	ACAP3	B	j15094.raw
j15095	PCDHGA7	j15095	PCDHGA7	B	j15095.raw
j15096	DPP6	j15096	DPP6	B	j15096.raw
j15097	BRD4	j15097	BRD4	B	j15097.raw
j15098	TBC1D2B	j15098	TBC1D2B	B	j15098.raw
j15100	NPAS2	j15100	NPAS2	B	j15100.raw
j15101	TFR2	j15101	TFR2	B	j15101.raw
j15102	TLR1	j15102	TLR1	B	j15102.raw
j15105	ANKLE2	j15105	ANKLE2	B	j15105.raw
j15106	BICD2	j15106	BICD2	B	j15106.raw
j15107	DISC1	j15107	DISC1	B	j15107.raw
j15109	GPAT2	j15109	GPAT2	B	j15109.raw
j15111	MATN2	j15111	MATN2	B	j15111.raw
j15115	SPON1	j15115	SPON1	B	j15115.raw
j15116	PIPSL	j15116	PIPSL	B	j15116.raw
j15120	BRD4	j15120	BRD4	C	j15120.raw
j15121	PCDHGA7	j15121	PCDHGA7	C	j15121.raw
j15122	ACAP3	j15122	ACAP3	C	j15122.raw
j15150	PHF14	j15150	PHF14	C	j15150.raw
j15151	SPON1	j15151	SPON1	C	j15151.raw
j18265	C19orf66	j18265	C19orf66	C	j18265.raw
j19865	KRT39	j19865	KRT39	C	j19865.raw
j3706	PSRC1	j3706	PSRC1	A	j3706.raw
j3709	MAB21L3	j3709	MAB21L3	A	j3709.raw
j3710	RIC3	j3710	RIC3	A	j3710.raw
j3711	INHA	j3711	INHA	A	j3711.raw
j3712	USP46	j3712	USP46	A	j3712.raw
j3713	ZDHHC9	j3713	ZDHHC9	A	j3713.raw
j3714	LMX1B	j3714	LMX1B	A	j3714.raw
j3740	VSX1	j3740	VSX1	B	j3740.raw
j3741	NHLRC2	j3741	NHLRC2	A	j3741.raw
j3742	POLE	j3742	POLE	A	j3742.raw
