sample_id	raw_file_name	plate	well	replicate_letter	ip_name	bait_name	replicate_group	keep
b12327	b12327.raw	81131	D08	B	b12327	NOL8	NOL8	Y
b12329	b12329.raw	81131	D07	B	b12329	KRBA1	KRBA1	Y
b12330	b12330.raw	81131	D06	B	b12330	SEMA6D	SEMA6D	Y
b12331	b12331.raw	81131	D05	B	b12331	SYCP1	SYCP1	Y
b12332	b12332.raw	81131	D04	B	b12332	ERAP1	ERAP1	Y
b12333	b12333.raw	81131	D03	B	b12333	ANO6	ANO6	Y
b12334	b12334.raw	81131	D01	B	b12334	GANAB	GANAB	Y
b12337	b12337.raw	81131	F07	C	b12337	DCLRE1A	DCLRE1A	Y
b12420	b12420.raw	81131	H11	C	b12420	A2M	A2M	Y
b12421	b12421.raw	81131	H10	C	b12421	MYO6	MYO6	Y
b12423	b12423.raw	81131	H08	C	b12423	FAM120A	FAM120A	Y
b12424	b12424.raw	81131	H07	C	b12424	CRAMP1L	CRAMP1L	Y
b12426	b12426.raw	81131	H05	C	b12426	ANKRD18A	ANKRD18A	Y
b12427	b12427.raw	81131	H04	C	b12427	VWCE	VWCE	Y
b12428	b12428.raw	81131	H02	C	b12428	PCDHAC2	PCDHAC2	Y
b12429	b12429.raw	81131	H01	C	b12429	IL12RB2	IL12RB2	Y
b12600	b12600.raw	81131	B11	D	b12600	MAPK8IP3	MAPK8IP3	Y
b12601	b12601.raw	81131	D08	D	b12601	NOL8	NOL8	Y
b12602	b12602.raw	81131	D09	D	b12602	LARS	LARS	Y
b12603	b12603.raw	81131	D10	D	b12603	COBL	COBL	Y
b12605	b12605.raw	81131	E06	D	b12605	PPFIBP1	PPFIBP1	Y
